# ell Dl
297.68314913078245 1.4353103485758563
351.6776945833348 1.7743981633775243
402.7795224613142 2.1067474784500186
475.83672202533796 2.501346670415367
568.7206957219129 2.7393502899859485
687.6866840213053 2.7393502899859485
815.5764728198824 2.8522752283960373
956.0668457256799 2.7671553118075427
1138.271425845661 2.6044603246754745
1376.3770304901275 2.552382839888233
1703.4524253195182 2.501346670415367
2116.4406932155944 2.4023154072725803
2549.2603077259323 2.193594469183285
3292.4962964791716 1.9828811914966324
