1.500000000000000000e+02 2.521773994676977396e+06
1.894472361809045253e+02 4.007898519744516816e+06
2.288944723618090507e+02 5.829511575149766169e+06
2.683417085427136044e+02 7.981595929443480447e+06
3.077889447236181013e+02 1.045865692704950832e+07
3.472361809045225982e+02 1.325492459031738713e+07
3.866834170854271520e+02 1.636455990645106323e+07
4.261306532663317057e+02 1.978185619196453318e+07
4.655778894472362026e+02 2.350142696827607974e+07
5.050251256281406995e+02 2.751837272142957151e+07
5.444723618090451964e+02 3.182842018170987442e+07
5.839195979899498070e+02 3.642802925845620036e+07
6.233668341708543039e+02 4.131446441079135239e+07
6.628140703517588008e+02 4.648582893767233193e+07
7.022613065326634114e+02 5.194106234939682484e+07
7.417085427135679083e+02 5.767990256694511324e+07
7.811557788944724052e+02 6.370281612709259242e+07
8.206030150753769021e+02 7.001090080430102348e+07
8.600502512562813990e+02 7.660576606066718698e+07
8.994974874371860096e+02 8.348939747833552957e+07
9.389447236180905065e+02 9.066401179893107712e+07
9.783919597989950034e+02 9.813190938332809508e+07
1.017839195979899614e+03 1.058953308110422939e+08
1.057286432160803997e+03 1.139563239676368386e+08
1.096733668341708608e+03 1.223166273348470628e+08
1.136180904522613218e+03 1.309775743249841928e+08
1.175628140703517602e+03 1.399400224221018851e+08
1.215075376884422212e+03 1.492043096514583230e+08
1.254522613065326823e+03 1.587702395500233471e+08
1.293969849246231206e+03 1.686370944165237546e+08
1.333417085427135817e+03 1.788036752476217747e+08
1.372864321608040200e+03 1.892683654868282378e+08
1.412311557788944810e+03 2.000292145914762616e+08
1.451758793969849421e+03 2.110840365199583471e+08
1.491206030150753804e+03 2.224305176042463183e+08
1.530653266331658415e+03 2.340663279339936972e+08
1.570100502512562798e+03 2.459892303532248437e+08
1.609547738693467409e+03 2.581971814550932050e+08
1.648994974874372019e+03 2.706884195326911211e+08
1.688442211055276402e+03 2.834615352664808631e+08
1.727889447236181013e+03 2.965155219503371716e+08
1.767336683417085624e+03 3.098498032177944779e+08
1.806783919597990007e+03 3.234642374618602991e+08
1.846231155778894617e+03 3.373590993785569668e+08
1.885678391959799228e+03 3.515350402417367697e+08
1.925125628140703611e+03 3.659930295762366652e+08
1.964572864321608222e+03 3.807342817882164717e+08
2.004020100502512605e+03 3.957601719961198568e+08
2.043467336683417216e+03 4.110721457553227544e+08
2.082914572864321599e+03 4.266716275685058832e+08
2.122361809045226437e+03 4.425599330187813640e+08
2.161809045226130820e+03 4.587381890621240735e+08
2.201256281407035203e+03 4.752072664895597696e+08
2.240703517587940041e+03 4.919677278478950262e+08
2.280150753768844424e+03 5.090197932296563983e+08
2.319597989949748808e+03 5.263633253546757698e+08
2.359045226130653646e+03 5.439978343191461563e+08
2.398492462311558029e+03 5.619225013376120329e+08
2.437939698492462412e+03 5.801362198041398525e+08
2.477386934673366795e+03 5.986376511031920910e+08
2.516834170854271633e+03 6.174252918553739786e+08
2.556281407035176017e+03 6.364975487269315720e+08
2.595728643216080400e+03 6.558528165929224491e+08
2.635175879396985238e+03 6.754895557383278608e+08
2.674623115577889621e+03 6.954063639119075537e+08
2.714070351758794004e+03 7.156020394037731886e+08
2.753517587939698842e+03 7.360756318763964176e+08
2.792964824120603225e+03 7.568264784059274197e+08
2.832412060301507609e+03 7.778542230433133841e+08
2.871859296482412446e+03 7.991588191336783171e+08
2.911306532663316830e+03 8.207405145856113434e+08
2.950753768844221213e+03 8.425998212071466446e+08
2.990201005025125596e+03 8.647374700728847980e+08
3.029648241206030434e+03 8.871543556129966974e+08
3.069095477386934817e+03 9.098514716832489967e+08
3.108542713567839201e+03 9.328298432585316896e+08
3.147989949748744039e+03 9.560904575736123323e+08
3.187437185929648422e+03 9.796341985077751875e+08
3.226884422110552805e+03 1.003461787779297113e+09
3.266331658291457643e+03 1.027573736096196294e+09
3.305778894472362026e+03 1.051970306825980067e+09
3.345226130653266409e+03 1.076651494031674623e+09
3.384673366834171247e+03 1.101617015913613796e+09
3.424120603015075631e+03 1.126866323840022802e+09
3.463567839195980014e+03 1.152398626290725708e+09
3.503015075376884852e+03 1.178212926223636389e+09
3.542462311557789235e+03 1.204308069647118568e+09
3.581909547738693618e+03 1.230682802582048178e+09
3.621356783919598456e+03 1.257335833157754421e+09
3.660804020100502839e+03 1.284265895329521179e+09
3.700251256281407223e+03 1.311471810645149946e+09
3.739698492462311606e+03 1.338952544626508713e+09
3.779145728643216444e+03 1.366707254660079479e+09
3.818592964824120827e+03 1.394735326788542032e+09
3.858040201005025210e+03 1.423036399434421062e+09
3.897487437185930048e+03 1.451610372829903603e+09
3.936934673366834431e+03 1.480457403731758833e+09
3.976381909547738815e+03 1.509577885821710825e+09
4.015829145728643653e+03 1.538972416984767199e+09
4.055276381909548036e+03 1.568641755377685547e+09
4.094723618090452419e+03 1.598586766807925701e+09
4.134170854271356802e+03 1.628808366408006668e+09
4.173618090452261640e+03 1.659307457887114763e+09
4.213065326633166478e+03 1.690084873756466627e+09
4.252512562814070407e+03 1.721141319852581024e+09
4.291959798994975245e+03 1.752477327228636980e+09
4.331407035175880083e+03 1.784093214063213587e+09
4.370854271356784011e+03 1.815989059671795368e+09
4.410301507537688849e+03 1.848164692030300856e+09
4.449748743718593687e+03 1.880619689468627691e+09
4.489195979899497615e+03 1.913353396406646729e+09
4.528643216080402453e+03 1.946364952227810860e+09
4.568090452261307291e+03 1.979653331658938169e+09
4.607537688442211220e+03 2.013217394388533592e+09
4.646984924623116058e+03 2.047055941144932270e+09
4.686432160804019986e+03 2.081167773098026037e+09
4.725879396984924824e+03 2.115551751264097691e+09
4.765326633165829662e+03 2.150206852592773438e+09
4.804773869346733591e+03 2.185132219598561764e+09
4.844221105527638429e+03 2.220327200756804943e+09
4.883668341708543267e+03 2.255791379395501614e+09
4.923115577889447195e+03 2.291524589451789856e+09
4.962562814070352033e+03 2.327526917189795017e+09
5.002010050251256871e+03 2.363798688754292488e+09
5.041457286432160799e+03 2.400340444219489098e+09
5.080904522613065637e+03 2.437152899540496826e+09
5.120351758793970475e+03 2.474236898485833168e+09
5.159798994974874404e+03 2.511593357185701847e+09
5.199246231155779242e+03 2.549223204342615604e+09
5.238693467336684080e+03 2.587127320395840168e+09
5.278140703517588008e+03 2.625306478996102333e+09
5.317587939698492846e+03 2.663761294028522968e+09
5.357035175879397684e+03 2.702492175126420975e+09
5.396482412060301613e+03 2.741499294162346840e+09
5.435929648241206451e+03 2.780782564609961987e+09
5.475376884422111289e+03 2.820341634972999096e+09
5.514824120603015217e+03 2.860175896712815285e+09
5.554271356783920055e+03 2.900284506315152645e+09
5.593718592964824893e+03 2.940666420362117290e+09
5.633165829145728821e+03 2.981320441759116173e+09
5.672613065326633659e+03 3.022245274647513866e+09
5.712060301507538497e+03 3.063439585045982361e+09
5.751507537688442426e+03 3.104902063934413433e+09
5.790954773869347264e+03 3.146631489342053413e+09
