# ell dl
484.4036697247706 3.8363171355498724
718.3486238532109 4.872122762148337
921.1009174311927 6.023017902813299
1139.4495412844035 6.751918158567775
1388.9908256880735 7.5191815856777495
1654.1284403669724 8.132992327365729
2012.8440366972477 8.593350383631714
2371.559633027523 8.938618925831202
2792.6605504587155 9.245524296675192
3229.3577981651374 9.283887468030692
3790.8256880733943 9.092071611253196
4336.697247706422 8.938618925831202
4866.97247706422 8.670076726342712
5412.844036697247 8.40153452685422
5911.926605504587 8.132992327365729
6457.798165137615 7.864450127877238
6925.688073394495 7.557544757033249
7455.963302752293 7.327365728900256
8001.834862385321 7.020460358056266
8438.532110091743 6.790281329923274
8953.211009174312 6.59846547314578
9452.29357798165 6.329923273657289
