#ell Dl
961.3393342932985 0.2149107127572609
2876.7631672946172 0.4450277543334627
3791.11643804291 0.41317023983802625
4690.648359397067 0.43200012349691835
5623.413251903491 0.3751401505682391
6636.174665426095 0.3668733193018218
8407.319155346335 0.25494800206188606
9388.641146339076 0.24565328756232305
12275.553852817566 0.1596709122106735
13282.739984823986 0.15615230060004973
14036.546669510893 0.1277766838721968
16961.023457606014 0.10691342882952526
19702.464240535697 0.09079554004550373
24570.32827152243 0.07653691760103719
27008.89704073499 0.06404004271197279
31622.776601683792 0.05644336576876518
37024.836611868806 0.04865156042825717
41673.79141743729 0.043200012349691834
