# ell Dl
484.48275862068965 0.5924050632911392
608.6206896551724 0.850632911392405
763.7931034482758 1.1620253164556962
1105.1724137931035 1.5721518987341772
1741.3793103448277 1.8531645569620252
2206.8965517241377 1.989873417721519
2998.2758620689656 2.0962025316455697
3743.1034482758623 2.141772151898734
4456.896551724138 2.1569620253164556
5263.793103448276 2.149367088607595
6163.793103448276 2.1189873417721516
7017.241379310345 2.0962025316455697
8041.379310344828 2.0658227848101265
8848.275862068966 2.0582278481012657
9500 2.043037974683544
